Date,Aceraceae (maple family),Betulaceae (birch family),Asteraceae (aster family),Arecaceae,Asteraceae (aster family),Asteraceae (aster family),Betulaceae (birch family),Betulaceae,Juglandaceae (walnut family),Ulmaceae,goosefoot/amaranth family,Betulaceae,"juniper family, cedar",sedge family,Asteraceae,Fagaceae (beech family),Oleaceae (olive family),Gramineae / Poaceae,Juglandaceae (walnut family),Oleaceae,Hamamelidaceae (witch-hazel family),Moraceae (mulberry family),Oleaceae (olive family),,,,Pinaceae (pine family),Plantaginaceae (plantain family),Platanaceae (plane-tree family),Salicaceae (willow family),Fabaceae,Fagaceae (beech family),Polygonaceae (buckwheat family),Salicaceae (willow family),Tiliaceae (linden family),Ulmaceae (elm family),,Urticaceae (nettle family),,Station Name,Station City,Station State,Station Postal Code,Station Country
7/20/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,1510,North Texas Pollen Station,Flower Mound,TX,75022,US
9/6/2021,,,80,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,2,,,1495,North Texas Pollen Station,Flower Mound,TX,75022,US
1/23/2022,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,1513,North Texas Pollen Station,Flower Mound,TX,75022,US
9/11/2022,,,186,,,,,,,,22,,,,,,,11,,,,,,,,,,,,,,,,,,95,,,2870,North Texas Pollen Station,Flower Mound,TX,75022,US
2/11/2021,,,,,,,,,,,,,13,,,,,,,,,,,,,,,,,,,,,,,13,,,750,North Texas Pollen Station,Flower Mound,TX,75022,US
10/6/2023,,,117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,1699,North Texas Pollen Station,Flower Mound,TX,75022,US
7/15/2023,,,,,,,,,,,,,,,,,,5,,,,,,,,,2,,,,,,,,,,,,2241,North Texas Pollen Station,Flower Mound,TX,75022,US
1/18/2021,,,,,,,,,,,,,145,,,,,,,,,,,,,,,,,,,,,,,2,,,1493,North Texas Pollen Station,Flower Mound,TX,75022,US
11/20/2021,,,2,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,2615,North Texas Pollen Station,Flower Mound,TX,75022,US
12/17/2021,,,2,,,,,,,,,,190,,,,,2,,,,,,,,,,,,,,,,,,,,,1130,North Texas Pollen Station,Flower Mound,TX,75022,US
3/7/2021,,,2,,,,,,,,,,316,,,,,,,,,,,,,,,,,,,,,,,17,,,1519,North Texas Pollen Station,Flower Mound,TX,75022,US
4/20/2022,,,,,,6,,,,4,,,2,2,,,73,11,,,,2,,,,,32,,13,28,,627,4,17,,,,,4711,North Texas Pollen Station,Flower Mound,TX,75022,US
3/28/2023,82,,,,,,,,,78,,,23,,,,233,13,,,,26,,,,,13,,91,2,,1707,,,,,,,2159,North Texas Pollen Station,Flower Mound,TX,75022,US
12/16/2021,,,2,,,,,,,,2,,415,,,,,,,,,,,,,,,,,,,,,,,2,,,1601,North Texas Pollen Station,Flower Mound,TX,75022,US
3/24/2022,,,,,,,,,,,,,26,2,,,,6,,,2,,,,,,6,,,2,,2,,,,9,,,2809,North Texas Pollen Station,Flower Mound,TX,75022,US
6/8/2022,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,2355,North Texas Pollen Station,Flower Mound,TX,75022,US
4/28/2022,,,,,,,,,15,65,,,,2,,,,41,,,,,,,,,4,,9,,,50,4,,,,,,3890,North Texas Pollen Station,Flower Mound,TX,75022,US
6/2/2021,,,,,,,,,,,,,,,,,,30,,,,,,,,,,,,,,,,,,,,,4826,North Texas Pollen Station,Flower Mound,TX,75022,US
2/8/2021,,,,,,,,,,,,,134,,,,,,,,,,,,,,2,,,,,2,,,,52,,,1528,North Texas Pollen Station,Flower Mound,TX,75022,US
9/7/2022,,,19,,2,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,158,,,3799,North Texas Pollen Station,Flower Mound,TX,75022,US
6/22/2021,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,1491,North Texas Pollen Station,Flower Mound,TX,75022,US
3/20/2023,143,,,,,,,,,9,,,14,,,,26,9,,,2,13,,,,,2,,26,2,,433,,,,,,,2111,North Texas Pollen Station,Flower Mound,TX,75022,US
10/30/2021,,,2,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,1977,North Texas Pollen Station,Flower Mound,TX,75022,US
9/3/2023,,,17,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,2,,,4538,North Texas Pollen Station,Flower Mound,TX,75022,US
2/19/2022,,,,,,,,,,,,,24,,,,,,,,,,,,,,2,,,,,,,,,13,,,2038,North Texas Pollen Station,Flower Mound,TX,75022,US
1/8/2023,,,,,,,,,,,,,76,,,,,,,,,,,,,,,,,,,,,,,2,,,2133,North Texas Pollen Station,Flower Mound,TX,75022,US
7/21/2022,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,2781,North Texas Pollen Station,Flower Mound,TX,75022,US
12/18/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1986,North Texas Pollen Station,Flower Mound,TX,75022,US
10/5/2023,,,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,2120,North Texas Pollen Station,Flower Mound,TX,75022,US
10/12/2023,,,160,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,186,,,3803,North Texas Pollen Station,Flower Mound,TX,75022,US
10/14/2023,,,160,,3,,,,,,9,,2,,,,,,,,,,,,,,,,,,,,,,,98,,,3218,North Texas Pollen Station,Flower Mound,TX,75022,US
1/3/2021,,,,,,,,,,,,,233,,,,,,,,,,,,,,,,,,,,,,,,,,815,North Texas Pollen Station,Flower Mound,TX,75022,US
2/28/2023,,,,,,,,,,,,,19,,,,26,,,,2,50,,,,,,,,,,,,,,117,,,2593,North Texas Pollen Station,Flower Mound,TX,75022,US
2/17/2022,,,,,,,,,,,,,233,,,,,,,,,,,,,,4,,,,,,,,,26,,,2031,North Texas Pollen Station,Flower Mound,TX,75022,US
4/29/2023,,,,,,,47,,41,,,,1,,,,4,16,3,,,,,,,,2,,,,,5,5,,,,,,2062,North Texas Pollen Station,Flower Mound,TX,75022,US
2/8/2022,,,,,,2,,,,,,,58,,,,,,,,,,,,,,,,,,,,,,,,,,1880,North Texas Pollen Station,Flower Mound,TX,75022,US
1/25/2021,,,,,,,,,,,,,134,,,,,,,,,,,,,,,,,,,,,,,2,,,2135,North Texas Pollen Station,Flower Mound,TX,75022,US
2/24/2023,,,,,,,,,,,,,65,,,,,,,,,,,,,,2,,,,,,,,,50,,,1826,North Texas Pollen Station,Flower Mound,TX,75022,US
9/20/2021,,,376,,,,,,,,2,,,,,,,2,,,,,,,,,,,,,,,,,,205,,,1636,North Texas Pollen Station,Flower Mound,TX,75022,US
5/17/2022,,,,,,,,,6,,,,,2,,,,22,,,,,,,,,,,,,,11,,,,,,,1945,North Texas Pollen Station,Flower Mound,TX,75022,US
5/11/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1712,North Texas Pollen Station,Flower Mound,TX,75022,US
4/9/2022,,,,,,,,,,56,,,22,,,,35,4,,,,272,,,,,9,,,19,,3311,,9,,,,,1707,North Texas Pollen Station,Flower Mound,TX,75022,US
1/5/2022,,,,,,,,,,,,,398,,,,,,,,,,,,,,,,,,,,,,,,,,2301,North Texas Pollen Station,Flower Mound,TX,75022,US
1/15/2022,,,,,,,,,,,,,365,,,,,,,,,,,,,,,,,,,,,,,,,,1941,North Texas Pollen Station,Flower Mound,TX,75022,US
11/26/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1011,North Texas Pollen Station,Flower Mound,TX,75022,US
10/27/2023,,,13,,,,,,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,1202,North Texas Pollen Station,Flower Mound,TX,75022,US
12/13/2023,,,,,,1,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,2111,North Texas Pollen Station,Flower Mound,TX,75022,US
7/4/2021,,,,,,,,,,,,,,2,,,,6,,,,,,,,,,,,,,,,,,,,,2204,North Texas Pollen Station,Flower Mound,TX,75022,US
11/11/2022,,,2,,,,,,,,2,,2,,,,,4,,,,,,,,,,,,,,,,,,,,,2185,North Texas Pollen Station,Flower Mound,TX,75022,US
11/7/2022,,,4,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,2096,North Texas Pollen Station,Flower Mound,TX,75022,US
9/9/2023,,,39,,,,,,,,3,,,,,,,3,,,,,,,,,,,,,,,,,,22,,,4274,North Texas Pollen Station,Flower Mound,TX,75022,US
9/24/2021,,,290,,,,,,,,4,,,,,,,4,,,,,,,,,,,,,,,,,,13,,,2098,North Texas Pollen Station,Flower Mound,TX,75022,US
5/23/2022,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,1772,North Texas Pollen Station,Flower Mound,TX,75022,US
4/11/2023,,,,,,,,,4,2,,,1,4,,,3,2,1,,,1,,,,,10,,39,,,123,9,11,,,,,1469,North Texas Pollen Station,Flower Mound,TX,75022,US
12/9/2023,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,1776,North Texas Pollen Station,Flower Mound,TX,75022,US
3/15/2021,4,,,,,,2,,,2,,,48,,,,6,6,,,,,,,,,13,,,117,,30,,4,,,,,1735,North Texas Pollen Station,Flower Mound,TX,75022,US
3/25/2023,103,,,,,,,,,15,,,13,2,,,67,14,,,,37,,,,,5,,73,6,,1281,,22,,,,,,North Texas Pollen Station,Flower Mound,TX,75022,US
3/27/2023,,,,,,2,,,,71,,,22,1,,,76,19,,,2,41,,,,,11,,91,,,2809,,,,,,,1949,North Texas Pollen Station,Flower Mound,TX,75022,US
2/3/2021,,,,,,,,,,,,,106,,,,,,,,,,,,,,,,,,,,,,,166,,,1956,North Texas Pollen Station,Flower Mound,TX,75022,US
11/30/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1318,North Texas Pollen Station,Flower Mound,TX,75022,US
3/22/2022,,,,,,,,,,,,,19,,,,,,,,,,,,,,,,,,,2,,,,13,,,2183,North Texas Pollen Station,Flower Mound,TX,75022,US
9/14/2023,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,2593,North Texas Pollen Station,Flower Mound,TX,75022,US
7/31/2021,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1629,North Texas Pollen Station,Flower Mound,TX,75022,US
5/22/2023,,,,,,,,,1,,,,,4,,,,13,,,,,,,,,,,,,,,6,,,,,,2291,North Texas Pollen Station,Flower Mound,TX,75022,US
3/2/2022,,,,,,,,,,,,,411,,,,,,,,,,,,,,,,,,,,,,,205,,,2161,North Texas Pollen Station,Flower Mound,TX,75022,US
8/30/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,292,,,3866,North Texas Pollen Station,Flower Mound,TX,75022,US
10/31/2022,,,,,1513,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,North Texas Pollen Station,Flower Mound,TX,75022,US
12/26/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,453,North Texas Pollen Station,Flower Mound,TX,75022,US
11/30/2021,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,1301,North Texas Pollen Station,Flower Mound,TX,75022,US
6/25/2021,,,,,,,,,,,,,,2,,,,4,,,,,,,,,,,,,,,,,,,,,1469,North Texas Pollen Station,Flower Mound,TX,75022,US
1/10/2023,,,,,,,,,,,,,1379,,,,,,,,,,,,,,,,,,,,,,,,,,1962,North Texas Pollen Station,Flower Mound,TX,75022,US
9/6/2022,,,4,,,,,,,,2,,,,,,,2,,,,,,,,,,,,,,,,,,201,,,2178,North Texas Pollen Station,Flower Mound,TX,75022,US
1/12/2022,,,,,,,,,,,,,41,,,,,,,,,,,,,,,,,,,,,,,,,,1642,North Texas Pollen Station,Flower Mound,TX,75022,US
1/17/2023,,,,,,,,,,,,,228,,,,,,,,,,,,,,,,,,,,,,,6,,,2597,North Texas Pollen Station,Flower Mound,TX,75022,US
5/31/2021,,,,,,,,,,,,,,,,,,48,,,,,,,,,,,,,,,,,,,,,2792,North Texas Pollen Station,Flower Mound,TX,75022,US
6/15/2023,,,,,,2,,,,,,,,,,,,4,,,,,,,,,36,,,,,,,,,,,,4754,North Texas Pollen Station,Flower Mound,TX,75022,US
3/24/2023,65,,,,,,,,,41,,,2,,,,41,4,,,,12,,,,,11,,70,,,2810,,28,,,,,2003,North Texas Pollen Station,Flower Mound,TX,75022,US
10/2/2023,,,130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,,,2187,North Texas Pollen Station,Flower Mound,TX,75022,US
6/11/2021,,,,,,,,,,,,,,,,,,13,,,,,,,,,,,,,,,,,,,,,1822,North Texas Pollen Station,Flower Mound,TX,75022,US
10/7/2023,,,64,,4,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,2,,,2894,North Texas Pollen Station,Flower Mound,TX,75022,US
7/14/2021,,,,,6,,,,,,2,,,2,,,,6,,,,,,,,,,,,,,,,,,,,,1986,North Texas Pollen Station,Flower Mound,TX,75022,US
7/12/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1502,North Texas Pollen Station,Flower Mound,TX,75022,US
1/1/2021,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,430,North Texas Pollen Station,Flower Mound,TX,75022,US
12/14/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1943,North Texas Pollen Station,Flower Mound,TX,75022,US
1/16/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,854,North Texas Pollen Station,Flower Mound,TX,75022,US
6/20/2022,,,,,,,,,,,,,,2,,,,11,,,,,,,,,,,,,,,,,,,,,2425,North Texas Pollen Station,Flower Mound,TX,75022,US
2/1/2021,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,4,,,1091,North Texas Pollen Station,Flower Mound,TX,75022,US
11/13/2022,,,2,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,1923,North Texas Pollen Station,Flower Mound,TX,75022,US
12/12/2023,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2265,North Texas Pollen Station,Flower Mound,TX,75022,US
2/18/2022,,,,,,,,,,,,,39,,,,,,,,,,,,,,4,,,,,,,,,13,,,1884,North Texas Pollen Station,Flower Mound,TX,75022,US
12/22/2021,,,,,,,,,,,,,97,,,,,,,,,,,,,,,,,,,,,,,,,,1517,North Texas Pollen Station,Flower Mound,TX,75022,US
3/20/2021,9,,,,,,2,,,39,,,26,,,,41,6,,,2,145,,,,,9,,,24,,285,,6,,2,,,1428,North Texas Pollen Station,Flower Mound,TX,75022,US
7/1/2023,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,3086,North Texas Pollen Station,Flower Mound,TX,75022,US
9/13/2023,,,24,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,3222,North Texas Pollen Station,Flower Mound,TX,75022,US
8/9/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1297,North Texas Pollen Station,Flower Mound,TX,75022,US
2/4/2021,,,2,,,,,,,,,,469,,,,,2,,,,,,,,,,,,,,,,,,84,,,2120,North Texas Pollen Station,Flower Mound,TX,75022,US
3/24/2021,24,,2,,,,,,,108,,,17,,,,169,,,,9,424,,,,,26,,13,24,,482,,19,,,,,1655,North Texas Pollen Station,Flower Mound,TX,75022,US
5/3/2023,,,,,,2,45,,35,,3,,17,,,,,35,3,,,,,,,,,,,,,3,6,,,,,,2917,North Texas Pollen Station,Flower Mound,TX,75022,US
6/12/2022,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,2299,North Texas Pollen Station,Flower Mound,TX,75022,US
2/6/2023,,,,,,3,,,,,,,776,,,,,,,,,,,,,,,,,,,,,,,54,,,1833,North Texas Pollen Station,Flower Mound,TX,75022,US
5/5/2021,,,,,,,,,24,,,,,,,,11,17,2,,,73,,,,,,,,,,11,,,,,,,2811,North Texas Pollen Station,Flower Mound,TX,75022,US
10/24/2021,,,50,,,,,,,,,,19,,,,,9,,,,,,,,,,,,,,,,,,35,,,1921,North Texas Pollen Station,Flower Mound,TX,75022,US
4/24/2021,,,,,,,,,2,,,,,,,,4,6,,,,32,,,,,,,,,,17,,4,,,,,666,North Texas Pollen Station,Flower Mound,TX,75022,US
4/29/2022,,,,,,,,,54,160,,,,,,,,54,2,,,,,,,,6,,4,,,54,4,,,2,,,3587,North Texas Pollen Station,Flower Mound,TX,75022,US
9/19/2022,,,69,,,,,,,,,,,2,,,,13,,,,,,,,,,,,,,,,,,171,,,2615,North Texas Pollen Station,Flower Mound,TX,75022,US
8/11/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1783,North Texas Pollen Station,Flower Mound,TX,75022,US
4/1/2021,2,,,,,,15,,,106,,,58,,,,67,2,,,,41,,,,,9,,15,2,,970,,6,,,,,1580,North Texas Pollen Station,Flower Mound,TX,75022,US
6/24/2022,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,2589,North Texas Pollen Station,Flower Mound,TX,75022,US
4/12/2022,26,,,,,19,,,,41,,,,4,,,58,6,,,2,130,,,,,9,,26,95,,7108,4,73,,,,,1513,North Texas Pollen Station,Flower Mound,TX,75022,US
12/20/2022,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,2304,North Texas Pollen Station,Flower Mound,TX,75022,US
1/13/2022,,,,,,,,,,,,,71,,,,,,,,,,,,,,,,,,,,,,,,,,1491,North Texas Pollen Station,Flower Mound,TX,75022,US
3/8/2021,,,,,,,,,,,,,359,,,,,,,,,,,2,,,19,,,,,,,,,17,,,1774,North Texas Pollen Station,Flower Mound,TX,75022,US
4/6/2022,,,,,,,4,,,71,,,22,,,,67,6,,,15,264,,,,,17,,22,17,,3062,,,,,,,2848,North Texas Pollen Station,Flower Mound,TX,75022,US
2/5/2023,,,,,,,,,,,,,28,,,,,,,,,,,,,,,,,,,,,,,19,,,2051,North Texas Pollen Station,Flower Mound,TX,75022,US
2/9/2022,,,,,,,,,,,,,259,,,,,,,,,,,,,,,,,,,,,,,,,,2269,North Texas Pollen Station,Flower Mound,TX,75022,US
9/19/2023,,,22,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,4625,,,3378,North Texas Pollen Station,Flower Mound,TX,75022,US
2/15/2022,,,,,,,,,,,,,655,,,,,,,,,,,,,,13,,,,,,,,,43,,,2377,North Texas Pollen Station,Flower Mound,TX,75022,US
8/9/2021,,,2,,,,,,,,4,,,,,,,6,,,,,,,,,,,,,,,,,,,,,1986,North Texas Pollen Station,Flower Mound,TX,75022,US
7/19/2021,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,1297,North Texas Pollen Station,Flower Mound,TX,75022,US
3/25/2021,15,,,,,,4,,,214,,,4,,,,151,4,,,13,220,,2,,,41,,22,26,,728,,15,,2,,,2172,North Texas Pollen Station,Flower Mound,TX,75022,US
4/18/2023,,,,,,,80,,10,,,,11,9,,,,28,3,,,,,,,,,,,,,32,26,9,,,,,2118,North Texas Pollen Station,Flower Mound,TX,75022,US
1/13/2021,,,2,,,,,,,,,,35,,,,,,,,,,,,,,,,,,,,,,,,,,1247,North Texas Pollen Station,Flower Mound,TX,75022,US
8/30/2023,,,95,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,4102,North Texas Pollen Station,Flower Mound,TX,75022,US
5/15/2022,,,,,,,,,2,2,2,,,6,,,,32,,,,,,,,,,,,,,,2,,,,,,1962,North Texas Pollen Station,Flower Mound,TX,75022,US
12/2/2021,,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,1392,North Texas Pollen Station,Flower Mound,TX,75022,US
4/10/2021,2,,,,,,6,,,30,,,28,,,,160,9,,,2,182,,9,,,15,,9,,,2371,4,24,,,,,1582,North Texas Pollen Station,Flower Mound,TX,75022,US
12/13/2021,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,1623,North Texas Pollen Station,Flower Mound,TX,75022,US
5/4/2021,,,,,,,,,58,,,,2,,,,2,56,2,,,117,,4,,,2,,,,,11,4,2,,,,,3313,North Texas Pollen Station,Flower Mound,TX,75022,US
4/16/2022,35,,,,,,,,2,13,,,4,2,,,65,9,,,,106,,,,,6,,65,2,,2550,15,,,,,,2593,North Texas Pollen Station,Flower Mound,TX,75022,US
8/1/2022,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1718,North Texas Pollen Station,Flower Mound,TX,75022,US
4/4/2022,13,,,,,,,,,162,,,4,2,,,138,9,,,6,395,,,,,39,,11,13,,4041,,,,,,,2113,North Texas Pollen Station,Flower Mound,TX,75022,US
7/23/2023,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,3270,North Texas Pollen Station,Flower Mound,TX,75022,US
12/7/2023,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1081,North Texas Pollen Station,Flower Mound,TX,75022,US
10/24/2022,,,41,,,,,,,,2,,2,,,,,4,,,,,,,,,,,,,,,,,,24,,,1878,North Texas Pollen Station,Flower Mound,TX,75022,US
1/19/2023,,,,,,,,,,,,,84,,,,,,,,,,,,,,,,,,,,,,,6,,,2237,North Texas Pollen Station,Flower Mound,TX,75022,US
5/1/2022,,,,,,,,,48,71,,,2,4,,,17,54,4,,,6,,,,,,,15,,,102,4,,,2,,,2353,North Texas Pollen Station,Flower Mound,TX,75022,US
6/21/2021,,,,,,,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,1729,North Texas Pollen Station,Flower Mound,TX,75022,US
4/26/2021,,,,,,,,,15,4,,,4,,,,28,58,9,,,175,,4,,,6,,,,,43,9,24,,,,,2358,North Texas Pollen Station,Flower Mound,TX,75022,US
11/25/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1727,North Texas Pollen Station,Flower Mound,TX,75022,US
12/28/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1297,North Texas Pollen Station,Flower Mound,TX,75022,US
9/2/2021,,,2,,,,,,,,2,,,,,,,4,,,,,,,,,,,,,,,,,,9,,,2623,North Texas Pollen Station,Flower Mound,TX,75022,US
11/8/2022,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,3652,North Texas Pollen Station,Flower Mound,TX,75022,US
8/2/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1731,North Texas Pollen Station,Flower Mound,TX,75022,US
8/28/2023,,,86,,,,,,,,1,,,,,,,2,,,,,,,,,,,,,,,,,,,,,4294,North Texas Pollen Station,Flower Mound,TX,75022,US
5/8/2021,,,,,,,,,95,,,,,,,,,169,,,,35,,,,,2,,,,,,2,,,,,,1822,North Texas Pollen Station,Flower Mound,TX,75022,US
9/3/2021,,,39,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,13,,,2161,North Texas Pollen Station,Flower Mound,TX,75022,US
11/28/2022,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,2185,North Texas Pollen Station,Flower Mound,TX,75022,US
8/15/2021,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,1491,North Texas Pollen Station,Flower Mound,TX,75022,US
12/31/2022,,,,,,,,,,,,,190,,,,,,,,,,,,,,,,,,,,,,,,,,1297,North Texas Pollen Station,Flower Mound,TX,75022,US
5/9/2022,,,,,,,,,13,24,,,,,,,,22,,,,,,,,,,,,,,6,,,,,,,2593,North Texas Pollen Station,Flower Mound,TX,75022,US
6/25/2022,,,,,,,,,,,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,2075,North Texas Pollen Station,Flower Mound,TX,75022,US
5/4/2023,,,,,,,61,,50,,,,9,2,,,,63,2,,,,,,,,,,,,,9,19,,,,,,,North Texas Pollen Station,Flower Mound,TX,75022,US
7/8/2023,,,,,,,,,,,3,,,,,,,2,,,,,,,,,2,,,,,,,,,,,,2457,North Texas Pollen Station,Flower Mound,TX,75022,US
11/4/2023,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1969,North Texas Pollen Station,Flower Mound,TX,75022,US
12/23/2022,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,1761,North Texas Pollen Station,Flower Mound,TX,75022,US
9/25/2021,,,311,,,,,,,,2,,,,,,,6,,,,,,,,,,,,,,,,,,6,,,2809,North Texas Pollen Station,Flower Mound,TX,75022,US
1/17/2021,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,1320,North Texas Pollen Station,Flower Mound,TX,75022,US
3/6/2021,,,,,,,,,,,,,1154,,,,,,,,,,,,,,,,,,,,,,,39,,,1463,North Texas Pollen Station,Flower Mound,TX,75022,US
1/9/2022,,,,,,,,,,,,,56,,,,,,,,,,,,,,,,,,,,,,,,,,3047,North Texas Pollen Station,Flower Mound,TX,75022,US
2/1/2022,,,,,,,,,,,,,110,,,,,,,,,,,,,,,,,,,,,,,,,,2485,North Texas Pollen Station,Flower Mound,TX,75022,US
10/11/2021,,,112,,,,,,,,9,,26,,,,,,,,,,,,,,2,,,,,,,,,43,,,4802,North Texas Pollen Station,Flower Mound,TX,75022,US
9/6/2023,,,4,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,3438,North Texas Pollen Station,Flower Mound,TX,75022,US
6/2/2023,,,,,,,,,,,,,,,,,,26,1,,,,,,,,,,,,,,2,,,,,,2161,North Texas Pollen Station,Flower Mound,TX,75022,US
12/1/2022,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2593,North Texas Pollen Station,Flower Mound,TX,75022,US
11/14/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1688,North Texas Pollen Station,Flower Mound,TX,75022,US
4/8/2022,9,,,,,,4,,,26,,,19,2,,,19,2,,,,82,,,,,,,,24,,972,2,,,,,,1729,North Texas Pollen Station,Flower Mound,TX,75022,US
4/15/2021,,,2,,,,,,,2,,,2,,,,110,6,2,,,17,,2,,,26,,,,,290,4,9,,,,,2749,North Texas Pollen Station,Flower Mound,TX,75022,US
8/4/2022,,,,,,2,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,1750,North Texas Pollen Station,Flower Mound,TX,75022,US
12/3/2021,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,1087,North Texas Pollen Station,Flower Mound,TX,75022,US
12/13/2022,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,2615,North Texas Pollen Station,Flower Mound,TX,75022,US
3/2/2023,,,,,,,,,,4,,,603,,,,84,2,,,4,176,,,,,2,,,,,43,,,,51,,,2600,North Texas Pollen Station,Flower Mound,TX,75022,US
12/5/2021,,,2,,,,,,,,,,17,,,,,4,,,,,,,,,,,,,,,,,,,,,2334,North Texas Pollen Station,Flower Mound,TX,75022,US
10/3/2021,,,145,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,130,,,5625,North Texas Pollen Station,Flower Mound,TX,75022,US
7/3/2023,,,,,,,,,,,2,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,3674,North Texas Pollen Station,Flower Mound,TX,75022,US
12/6/2021,,,4,,,,,,,,,,4,,,,,2,,,,,,,,,,,,,,,,,,,,,1854,North Texas Pollen Station,Flower Mound,TX,75022,US
